"Species_name","Parvorder","Confidence","tips","column","value"
"Lagenorhynchus albirostris","Odontoceti","2,4","Lagenorhynchus_albirostris","Conf4","nocturnal/crepuscular"
"Lagenorhynchus australis","Odontoceti","2,2,2,1,1,3","Lagenorhynchus_australis","Conf1","nocturnal"
"Lagenorhynchus australis","Odontoceti","2,2,2,1,1,3","Lagenorhynchus_australis","Conf1","nocturnal"
"Lagenorhynchus australis","Odontoceti","2,2,2,1,1,3","Lagenorhynchus_australis","Conf2","nocturnal"
"Lagenorhynchus australis","Odontoceti","2,2,2,1,1,3","Lagenorhynchus_australis","Conf2","nocturnal"
"Lagenorhynchus australis","Odontoceti","2,2,2,1,1,3","Lagenorhynchus_australis","Conf3","nocturnal"
"Lagenorhynchus cruciger","Odontoceti","1,0.5,1,1","Lagenorhynchus_cruciger","Conf1","nocturnal"
"Lagenorhynchus cruciger","Odontoceti","1,0.5,1,1","Lagenorhynchus_cruciger","Conf1","nocturnal"
"Lagenorhynchus cruciger","Odontoceti","1,0.5,1,1","Lagenorhynchus_cruciger","Conf1","diurnal"
"Lagenorhynchus obliquidens","Odontoceti","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3","nocturnal/crepuscular"
"Lagenorhynchus obliquidens","Odontoceti","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3","cathemeral"
"Lagenorhynchus obliquidens","Odontoceti","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3","nocturnal"
"Lagenorhynchus obliquidens","Odontoceti","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3","cathemeral/crepuscular"
"Lagenorhynchus obliquidens","Odontoceti","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf5","diurnal"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf1","nocturnal"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf2","cathemeral"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf2","diurnal/crepuscular"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf3","nocturnal"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf3","nocturnal"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf4","cathemeral"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf4","nocturnal/crepuscular"
"Lagenorhynchus obscurus","Odontoceti","4,2,2,2,4,4,3,2,3,2","Lagenorhynchus_obscurus","Conf4","nocturnal/crepuscular"
"Lipotes vexillifer","Odontoceti","1,5,5,2","Lipotes_vexillifer","Conf1","nocturnal"
"Lipotes vexillifer","Odontoceti","1,5,5,2","Lipotes_vexillifer","Conf2","diurnal"
"Lipotes vexillifer","Odontoceti","1,5,5,2","Lipotes_vexillifer","Conf5","diurnal"
"Lipotes vexillifer","Odontoceti","1,5,5,2","Lipotes_vexillifer","Conf5","diurnal"
"Lissodelphis borealis","Odontoceti","1","Lissodelphis_borealis","Conf1","nocturnal"
"Lissodelphis peronii","Odontoceti","1","Lissodelphis_peronii","Conf1","nocturnal"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf3","nocturnal"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","cathemeral"
