"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Dive_duration","Body_length_m","Orbit_ratio","Diet","Brain_mass_g","Encephalization_quotient","Longevity_days","Sexual_maturity_days","Group_size","IUCN","Dive_depth_m","Mean_dive_depth_m","Body_mass_kg","Average_body_mass_kg","Habitat","Feeding_method","Divetype","Species_name","max_lat","mean_lat"
"Mesoplodon_mirus","Odontoceti","Ziphiidae","diurnal/crepuscular","crepuscular",3,NA,NA,29.517723,"cephalopods + fish","2355",1.49,NA,NA,2,"least_concern",939,939,1400,1326.66666666667,"pelagic","Suction","deep","Mesoplodon mirus",53.0451628481616,40.1121092812967
"Mesoplodon_perrini","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,29.4837726,"cephalopods + fish",NA,NA,NA,NA,NA,"endangered",NA,NA,1500,1500,"pelagic","Suction",NA,"Mesoplodon perrini",39.5148645455675,29.9642798114458
"Mesoplodon_peruvianus","Odontoceti","Ziphiidae",NA,NA,1,NA,NA,33.6134172742519,"cephalopods + fish",NA,NA,NA,NA,NA,"least_concern",NA,NA,800,800,"pelagic","Suction",NA,"Mesoplodon peruvianus",31.9146213517249,0.904568669516863
"Mesoplodon_stejnegeri","Odontoceti","Ziphiidae","cathemeral","cathemeral",3,NA,NA,31.0041710929118,"cephalopods + fish",NA,NA,NA,NA,10,"near_threatened",NA,NA,1500,1500,"pelagic","Suction",NA,"Mesoplodon stejnegeri",63.390835592,48.0302355925
"Mesoplodon_traversii","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Monodon_monoceros","Odontoceti","Monodontidae","cathemeral/crepuscular","crepuscular",4,25,4.8,20.8490333333333,"cephalopods + fish","2996.7",1.54,"-",4307,10,"least_concern",1400,1250,1800,1644.575,"coastal/pelagic","Suction","verydeep","Monodon monoceros",85.007173116,72.5822103825001
"Neophocaena_asiaeorientalis","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular",5,NA,NA,25.69165,"cephalopods + fish",NA,NA,NA,NA,NA,"endangered",20,20,80,80,"coastal",NA,"shallow","Neophocaena asiaeorientalis",40.9529457100001,31.8097727400001
"Neophocaena_phocaenoides","Odontoceti","Phocoenidae","nocturnal","nocturnal",3,NA,NA,NA,"cephalopods + fish","468",3.92,"9125",2372.5,3.5,"vulnerable",20,20,80,55.8,"coastal","Raptorial","shallow","Neophocaena phocaenoides",30.5183430020001,11.452248464
"Neophocaena_sunameri","Odontoceti","Phocoenidae","diurnal","diurnal",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orcaella_brevirostris","Odontoceti","Delphinidae","cathemeral","cathemeral",3,NA,NA,NA,"benthic invertebrates + fish",NA,NA,"10,950",1825,3,"endangered",110,110,130,126.75,"coastal","Raptorial","shallow","Orcaella brevirostris",25.811723692,8.51555296750004
"Orcaella_heinsohni","Odontoceti","Delphinidae","nocturnal","nocturnal",2,NA,NA,26.43691,"benthic invertebrates + fish",NA,NA,NA,NA,NA,"vulnerable",30,30,133,133,"coastal",NA,"shallow","Orcaella heinsohni",-3.55262006299995,-13.122815652
"Orcinus_orca","Odontoceti","Delphinidae","diurnal","diurnal",5,15,9.8,20.0947,"tetrapods + fish","4779.5",0.55,"31,025",5110,12.3,NA,768,640.75,12616,9738.66666666667,"coastal/pelagic","Raptorial","deep","Orcinus orca",82.3946871689999,-1.59403823100005
"Peponocephala_electra","Odontoceti","Delphinidae","nocturnal","nocturnal",5,NA,NA,27.285,"cephalopods + fish",NA,NA,"16,607.50",4197.5,269,"least_concern",472,471.666666666667,275,257.666666666667,"pelagic","Raptorial/Suction","mid","Peponocephala electra",36.4103742,0.995381129500032
"Phocoena_dioptrica","Odontoceti","Phocoenidae",NA,NA,0,NA,NA,32.50124,"cephalopods + fish",NA,NA,"2920",730,2,"least_concern",NA,NA,115,110,"coastal/pelagic","Suction","mid_low_conf","Phocoena dioptrica",-25.6893534189999,-44.7099201944999
"Phocoena_phocoena","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular",4,12,1.89,32.456175,"cephalopods + fish","523",3.04,"6205",1014.7,5,"least_concern",226,226,75,67.19375,"coastal","Raptorial/Suction","mid","Phocoena phocoena",79.7664828174205,47.2787416477086
"Phocoena_sinus","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular",3,NA,1.5,23.1798,"cephalopods + fish",NA,NA,"7665",1642.5,2,"critically_endangered",30,30,50,42.7833333333333,"coastal","Raptorial","shallow","Phocoena sinus",31.7645263672981,30.9301147460987
"Phocoena_spinipinnis","Odontoceti","Phocoenidae","cathemeral","cathemeral",2,NA,NA,31.5064333333333,"cephalopods + fish",NA,NA,NA,NA,5,"near_threatened",NA,NA,105,95,"coastal","Raptorial/Suction","shallow_low_conf","Phocoena spinipinnis",-5.67120787699997,-30.847965256
