"Species_name","min_lat","max_lat","tips","mean_lat"
"Boselaphus tragocamelus",11.713435593,32.7192355930001,"Boselaphus_tragocamelus",22.2163355930001
"Procapra picticaudata",27.7803355930001,40.0706355930001,"Procapra_picticaudata",33.9254855930001
"Procapra gutturosa",42.1863355930001,50.3132355920001,"Procapra_gutturosa",46.2497855925001
"Tragelaphus buxtoni",6.60973559200005,9.04723559300004,"Tragelaphus_buxtoni",7.82848559250004
"Tragelaphus eurycerus",-3.39466440699994,11.424735593,"Tragelaphus_eurycerus",4.01503559300005
"Tragelaphus spekii",-20.1040644079999,14.131535593,"Tragelaphus_spekii",-2.98626440749996
"Tragelaphus scriptus",-34.839764407,15.2471355930001,"Tragelaphus_scriptus",-9.79631440699995
"Tragelaphus angasii",-28.4374644069999,-15.5391644069999,"Tragelaphus_angasii",-21.9883144069999
"Tragelaphus imberbis",-8.61906440799993,10.9812355930001,"Tragelaphus_imberbis",1.18108559250007
"Tragelaphus oryx",-34.839764407,6.87293559200003,"Tragelaphus_oryx",-13.9834144075
"Cervus hanglu",33.973657861,44.35595025,"Cervus_hanglu",39.1648040555
"Bison bison",35.7509099970001,64.656694959,"Bison_bison",50.2038024780001
"Orcaella brevirostris",-8.78061775699996,25.811723692,"Orcaella_brevirostris",8.51555296750004
"Pontoporia blainvillei",-42.069058964,-18.422426198,"Pontoporia_blainvillei",-30.245742581
"Sousa teuszii",-16.1632531339999,23.916383743,"Sousa_teuszii",3.87656530450005
"Sus barbatus",-4.08302999999995,8.07760143300004,"Sus_barbatus",1.99728571650004
"Orcaella heinsohni",-22.693011241,-3.55262006299995,"Orcaella_heinsohni",-13.122815652
"Sousa chinensis",-8.88121213799997,26.8773988410001,"Sousa_chinensis",8.99809335150005
"Cephalorhynchus commersonii",-56.1131552699999,-42.090212655,"Cephalorhynchus_commersonii",-49.1016839624999
"Balaenoptera borealis",-77.637399525,75.9723004990001,"Balaenoptera_borealis",-0.832549512999954
"Giraffa camelopardalis",-29.265613882,14.6057128910001,"Giraffa_camelopardalis",-7.32995049549996
"Cervus canadensis",27.6430900003033,60.8276355918092,"Cervus_canadensis",44.2353627960563
"Cervus elaphus",33.4545552665124,66.9612355921489,"Cervus_elaphus",50.2078954293306
"Alcelaphus buselaphus",-34.839764407,17.395335592,"Alcelaphus_buselaphus",-8.72221440749996
"Sotalia guianensis",-28.0256900059999,17.5588151690001,"Sotalia_guianensis",-5.23343741849993
"Balaenoptera omurai",-36.7453444204086,36.3713488642587,"Balaenoptera_omurai",-0.186997778074954
"Pseudorca crassidens",-58.2307789909958,61.5051499089983,"Pseudorca_crassidens",1.63718545900126
"Vicugna vicugna",-29.770548631714,-1.27462698644621,"Vicugna_vicugna",-15.5225878090801
"Balaenoptera musculus",-85.5827637175627,79.2291700519982,"Balaenoptera_musculus",-3.17679683278227
"Arabitragus jayakari",22.1092315372057,26.2573264221767,"Arabitragus_jayakari",24.1832789796912
"Stenella longirostris",-34.5288070839999,41.3899726600001,"Stenella_longirostris",3.43058278800007
"Tursiops truncatus",-53.6386208607526,62.8119009530654,"Tursiops_truncatus",4.58664004615637
"Capricornis sumatraensis",-5.94506399960386,36.5736359999015,"Capricornis_sumatraensis",15.3142860001488
"Connochaetes taurinus",-30.603064407,-0.776264406999928,"Connochaetes_taurinus",-15.689664407
"Oryx gazella",-33.256164407,-17.170364407,"Oryx_gazella",-25.213264407
"Pseudoryx nghetinhensis",15.9787355930001,19.466935592,"Pseudoryx_nghetinhensis",17.7228355925
"Tragelaphus strepsiceros",-34.0525283809999,20.147535593,"Tragelaphus_strepsiceros",-6.95249639399995
"Cephalophus dorsalis",-10.8545644079999,12.5784355920001,"Cephalophus_dorsalis",0.861935592000066
